,name,address,kurtosis_oxygen,pregnant,education-num,relationship,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,education,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss
0,Christian Gustafson,"67834 Kim Plaza Suite 620
New Desiree, KS 87444",6.123065866,f,13.0, Not-in-family,-0.015361893,141.1875,29.13641808,0.0,38.01193267,-0.139766255,"Prof-specialty|United-States
Never-married -- Federal-gov|Black", Bachelors,196912.0,0.0,47.68233917, <=50K,5.114548495,40.0,0.0
1,Charles Gillespie,"62025 Michael Turnpike
South Stephaniemouth, VT 09707",9.839099321,f,9.0, Husband,0.672588179,120.71875,16.56919916,0.0,111.2696605,0.257893335,"Other-service|United-States
Married-civ-spouse -- private|Black", HS-grad,230136.0,0.0,43.12571331, >50K,2.163879599,60.0,0.0
2,Milton Dube,"91113 Pierce Pass Suite 424
Port Alejandraberg, MO 01933",0.23714692,f,10.0, Own-child,16.54454213,34.640625,65.976393,0.0,-0.338388229,3.7992285839999997,"Sales|United-States
Never-married -- Private|White", Some-college,165505.0,1.0,34.89823025, <=50K,88.93394649,20.0,0.0
3,Roy Paradis,"01168 Stark Pine Apt. 583
Davidville, IN 32044",9.420978131,f,5.0, Not-in-family,-0.8775181459999999,136.1484375,13.89706732,0.0,123.3884001,-0.05392389400000002,"Handlers-cleaners|United-States
Divorced -- Private|White", 9th,215150.0,0.0,61.4425659, <=50K,2.379598662,50.0,0.0
4,Jonathan Spears,"698 Cody Prairie Suite 415
Port Jenniferchester, NE 12147",1.395168685,f,4.0, Own-child,20.564578899999997,34.9140625,60.87113837,0.0,1.019151776,4.42970383,"?|United-States
Divorced -- ?|White", 7th-8th,200819.0,1.0,36.73086818, <=50K,74.64046823,84.0,0.0
5,Bruce Gaytan,"6958 Stewart Port
East Williamstad, AR 01705",7.611175157000001,f,10.0, Husband,-0.193123701,136.78125,22.30821046,0.0,63.63028444,-0.298781876,"Sales|United-States
Married-civ-spouse -- Private|White", Some-college,203836.0,0.0,52.19972724, >50K,3.510033445,50.0,0.0
6,Terry Corbin,"06280 Kimberly Village Apt. 237
Bentleytown, TX 60847",14.88444787,f,3.0, Husband,-0.175452539,123.8046875,10.58179614,5178.0,299.2735784,0.185460353,"Craft-repair|Puerto-Rico
Married-civ-spouse -- Private|Other", 5th-6th,195813.0,0.0,49.98610097, >50K,1.276755853,40.0,0.0
7,Dylan Johnson,"4124 Padilla Roads Apt. 390
Tylermouth, TN 33479",7.474734337999999,f,13.0, Not-in-family,-0.669922519,123.9765625,21.80441206,0.0,61.00222792,0.132095928,"Sales|United-States
Never-married -- Private|White", Bachelors,293073.0,0.0,55.7622555, >50K,3.418896321,50.0,0.0
8,Randy Scott,"409 Shawn Loop
Lanefurt, AL 19223",16.1071543,f,13.0, Not-in-family,0.635847582,110.484375,11.28052173,8614.0,292.4680101,0.373527785,"Sales|United-States
Never-married -- private|White", Bachelors,109351.0,0.0,45.80836175, >50K,0.829431438,45.0,0.0
9,Matthew Collins,"0366 Kerr Forks Suite 833
Kimberlyfurt, IA 98930",8.957683022000001,f,10.0, Not-in-family,0.32856355,142.6640625,19.69779473,0.0,85.05450313,0.159384036,"Other-service|United-States
Divorced -- private|White", Some-college,47783.0,0.0,43.98619765, <=50K,2.532608696,30.0,0.0
10,Henry Rodriguez,"874 Frank Stream
Payneshire, NM 87294",3.322152211,f,14.0, Wife,11.379113199999999,60.8828125,48.86978279,0.0,9.756751039,2.449872617,"Prof-specialty|United-States
Married-civ-spouse -- Self-emp-not-inc|White", Masters,205100.0,1.0,33.77258992, >50K,14.58779264,30.0,0.0
11,Luke Hernandez,"PSC 7980, Box 0719
APO AP 32147",-0.104045545,f,9.0, Unmarried,33.92976076,8.578125,79.27104219,0.0,-1.315916032,5.823671052000001,"Sales|Germany
Widowed -- federal-gov|White", HS-grad,212448.0,1.0,33.61793824, <=50K,141.31521740000005,40.0,0.0
12,Roscoe Shelton,"6954 Carrillo Shoals Apt. 139
Sandersview, TX 26518",5.307883728999999,f,9.0, Husband,-0.033904738999999996,108.3203125,30.36841978,0.0,28.88554142,0.39489380700000004,"Machine-op-inspct|United-States
Married-civ-spouse -- Self-emp-not-inc|White", HS-grad,134727.0,0.0,49.2625196, <=50K,6.381270903,40.0,0.0
13,Reuben Messenger,"0228 Young Garden Suite 767
Ricetown, NC 46133",6.625637202999999,f,9.0, Not-in-family,1.3974352490000002,90.2265625,25.24064905,0.0,46.64928676,0.593121724,"Craft-repair|United-States
Never-married -- Private|White", HS-grad,36069.0,0.0,39.47986331, <=50K,4.423913043,35.0,0.0
14,James Eells,"9949 David Fields Suite 552
Lindaview, NM 60872",6.862216701,f,7.0, Husband,-0.194980956,123.3125,27.48565382,0.0,48.23390271,0.30345858800000003,"Farming-fishing|United-States
Married-civ-spouse -- self-emp-not-inc|White", 11th,315406.0,0.0,48.28734792, <=50K,4.402173913,88.0,0.0
15,Henry Hill,"971 Brown Hollow
Maureenside, IA 18976",12.64026212,FALSE,6.0, Unmarried,0.056358899000000004,111.8828125,13.01476695,0.0,192.88882519999999,0.018244384,"Adm-clerical|United-States
Never-married -- private|White", 10th,157078.0,0.0,46.37982136, <=50K,1.420568562,40.0,0.0
16,Elmer Durante,"5786 Clark Garden
Johnbury, ID 62249",-0.861442064,f,, Husband,13.74960917,16.2734375,50.81271252,0.0,0.49081429600000004,3.750763581,"Exec-managerial|United-States
Married-civ-spouse -- Private|White", Masters,115323.0,1.0,45.49995104, >50K,178.42558530000005,40.0,0.0
17,John Cuff,"87184 Jesus Pines Apt. 478
Edwardtown, AK 57408",14.18013696,f,13.0, Own-child,-0.087225555,121.5546875,11.59043105,0.0,242.8677525,0.083099139,"Prof-specialty|United-States
Never-married -- Private|White", Bachelors,77071.0,0.0,50.90935704, <=50K,1.098662207,35.0,2339.0
18,Robert Tanzosch,"307 Rachel Knoll Apt. 523
Mendozabury, WY 60587",1.0382197359999998,f,12.0, Husband,41.00497636,15.4609375,70.27851209,0.0,0.12254432900000001,6.24443227,"Other-service|Iran
Married-civ-spouse -- Self-emp-not-inc|White", Assoc-acdm,138285.0,1.0,29.64659085, <=50K,57.35785953,40.0,0.0
19,Mickey Barahona,"9463 Sanders Road Apt. 660
Lake Devin, MT 98980",0.34489365200000005,f,9.0, Unmarried,10.17820522,50.375,82.23541097,0.0,-1.134392158,2.9601984089999998,"Other_service|United-States
?? -- private|Black", HS-grad,111275.0,1.0,38.17107871, <=50K,88.7458194,38.0,0.0
20,Kenneth Mcwhorter,"66845 Gilbert Harbors
Parkerville, NH 31019",10.46548278,f,4.0, Husband,0.8288038529999999,90.8203125,13.09465392,1797.0,148.0627278,0.42738215,"Handlers-cleaners|United-States
Married-civ-spouse -- Private|White", 7th-8th,184759.0,0.0,46.35940331, <=50K,1.959866221,15.0,0.0
21,Ricky Paterson,"471 Walker Underpass Apt. 374
Lake Patriciaborough, OK 65393",-0.98934276,F,9.0, Husband,-0.35660535299999996,143.953125,80.57378377,0.0,-0.39576732200000003,-0.05156645,"?|United-States
Married-civ-spouse -- ?|White", HS-grad,224886.0,0.0,52.57953193, <=50K,156.4423077,40.0,0.0
22,Bryan Haynes,"4215 Jared Branch Suite 992
Stevenstad, WA 75157",1.312654577,f,1000.0, Unmarried,37.93730527,19.8359375,64.52055564,0.0,1.02515552,6.005141397,"Other_service|United-States
Separated -- Private|White", Some-college,142282.0,1.0,30.27033855, <=50K,48.71655518,25.0,0.0
23,Shane Snellings,"642 Shane Knolls Apt. 680
East Mary, NJ 92774",1.133982021,F,10.0, Husband,55.84523749,8.9609375,56.31345171,3103.0,1.0293795620000001,7.513116634,"Sales|United-States
Married-civ-spouse -- Private|White", Some-college,358199.0,1.0,30.21728664, >50K,75.54096990000002,40.0,0.0
24,Howard Fullard,"24496 Taylor Circle
Roweburgh, IL 44255",7.229393912999999,f,9.0, Husband,0.734160418,99.421875,20.47361109,0.0,60.98968965,0.5396078360000001,"Farming-fishing|United-States
Married-civ-spouse -- Self-emp-not-inc|White", HS-grad,246439.0,0.0,46.19483355, <=50K,3.826086957,45.0,0.0
25,Jeffrey Taylor,"USNV Kim
FPO AA 96043",11.555694699999998,f,9.0, Husband,0.328758906,134.9453125,11.99229519,0.0,189.4924129,-0.054431105,"Transport-moving|United-States
Married-civ-spouse -- Private|White", HS-grad,194698.0,0.0,48.4365417, <=50K,1.783444816,50.0,0.0
